LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
Wangaratta,3733,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3735,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3737,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3746,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3747,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3858,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Warrnambool,3275,10.60%,67,9.10%,71,12.40%,63,72.60%,47,80.90%,37,63.90%,59,12.20%,42,5.50%,25,24.30%,50,8.30%,13,6.4,31,7,12,5.7,54
Warrnambool,3277,10.60%,67,9.10%,71,12.40%,63,72.60%,47,80.90%,37,63.90%,59,12.20%,42,5.50%,25,24.30%,50,8.30%,13,6.4,31,7,12,5.7,54
Warrnambool,3280,10.60%,67,9.10%,71,12.40%,63,72.60%,47,80.90%,37,63.90%,59,12.20%,42,5.50%,25,24.30%,50,8.30%,13,6.4,31,7,12,5.7,54
Warrnambool,3281,10.60%,67,9.10%,71,12.40%,63,72.60%,47,80.90%,37,63.90%,59,12.20%,42,5.50%,25,24.30%,50,8.30%,13,6.4,31,7,12,5.7,54
