LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
East Gippsland,3892,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3895,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3896,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3898,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3900,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3902,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3903,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3904,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
East Gippsland,3909,17.90%,18,13.40%,38,22.10%,8,75.00%,32,81.10%,36,68.90%,30,14.20%,8,3.80%,63,23.80%,53,9.00%,7,8.2,6,7.6,6,8.9,9
Frankston,3175,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3197,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3198,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3199,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3200,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3201,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3910,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3911,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3912,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3930,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Frankston,3977,13.90%,50,17.20%,16,10.30%,72,77.50%,20,84.00%,20,70.80%,21,14.90%,3,6.30%,9,28.60%,22,7.60%,27,5.4,52,4.8,55,6.1,44
Gannawarra,2731,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,2732,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,2735,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3527,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3530,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3537,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3540,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3542,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3544,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3566,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3567,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3568,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3575,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3579,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3580,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3581,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3584,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3585,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Gannawarra,3586,14.90%,41,15.20%,27,14.60%,49,83.10%,3,89.20%,2,77.20%,3,14.20%,7,4.90%,38,28.40%,24,8.70%,11,10.2,3,9.5,2,10.8,3
Glen Eira,3143,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3144,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3145,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3161,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3162,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3163,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3165,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3166,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3167,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3183,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3184,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3185,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3186,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3187,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3189,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glen Eira,3204,9.60%,72,8.90%,72,10.70%,70,65.20%,71,70.90%,71,59.30%,71,7.00%,74,3.70%,65,22.90%,61,6.50%,51,5.2,57,5,49,5.4,64
Glenelg,3285,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3286,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3292,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3301,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3302,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3303,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3304,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3305,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3309,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3310,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3311,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3312,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3315,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,3317,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,5277,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,5278,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Glenelg,5291,14.70%,44,11.30%,57,18.70%,20,81.60%,6,88.30%,3,75.20%,8,13.10%,32,6.00%,15,28.80%,18,7.20%,34,6.7,25,5.9,27,7.4,25
Golden Plains,3221,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3242,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3251,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3321,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3324,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3328,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3329,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3330,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3331,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3332,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3333,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3334,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3340,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3342,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3351,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3352,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3356,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3360,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Golden Plains,3361,14.90%,42,12.60%,52,17.30%,30,66.70%,68,73.40%,64,60.30%,67,12.10%,46,4.10%,57,23.60%,55,7.80%,24,5.4,53,4.6,61,6.2,39
Greater Bendigo,3444,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3448,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3453,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3463,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3515,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3516,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3522,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3523,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3550,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3551,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3555,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3556,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3557,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3558,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3559,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3561,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3570,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3572,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3608,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Bendigo,3662,17.20%,26,15.40%,26,17.50%,29,75.20%,31,82.00%,29,68.10%,37,12.50%,35,4.70%,42,27.10%,36,6.10%,62,6,35,5.2,42,6.7,34
Greater Dandenong,3168,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3169,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3170,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3171,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3172,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3173,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3174,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3175,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3177,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3178,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3195,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3196,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3197,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3201,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3802,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3803,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3975,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3976,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Dandenong,3977,29.10%,1,30.60%,1,28.00%,3,71.50%,55,76.50%,56,66.70%,46,13.80%,13,7.60%,4,28.40%,26,9.10%,6,4.3,71,4,72,4.6,71
Greater Geelong,3024,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3030,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3211,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3212,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3214,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3215,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3216,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3217,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
Greater Geelong,3218,15.20%,38,15.90%,24,14.70%,48,75.90%,29,82.40%,26,69.10%,28,14.00%,10,4.00%,58,28.70%,19,7.90%,22,5.9,36,5.7,33,6.2,38
